key,de-DE,en-US,,
editor.field.visibility.title|text,Feldauswahl auf Grundlage des Wertes eines Feldes,Field selection based on the value of a field,,
editor.field.visibility.name,Feldauswahl auf Grundlage des Wertes eines Feldes,Field selection based on the value of a field,,
editor.field.visibility.nameofobservedfield,Name des zu überwachenden Feldes, Name of observed field,,
editor.field.visibility.map,JSON-Map, JSON-map,,
editor.field.visibility.option.observedfield,Überwachtes Feld,ObservedField,,
editor.field.visibility.option.jsonmap,JSON-Map,JSON-map,,
editor.field.visibility.targetpath,JSON-Zielpfad, JSON-Targetpath,,
editor.field.visibility.option.jsontargetpath,JSON-Zielpfad, JSON-Targetpath,,
editor.field.visibility.helpwithactionfieldnames,Hilfe bei den Feldpfaden, Help with the Fieldpaths,,
editor.field.visibility.helpwithactionfieldnames_no,Nein danke, alles gut, No thanks, everything fine
editor.field.visibility.helpwithactionfieldnames_yes,Ja - zeig mir die Splitter-Feld-Pfade in der Konsole, Yes - show me the splitter-field-paths in the console,,
mask.splitter.panel.spliter_name.editor-field-visibility-end|text,Ende (Feldauswahl-Plugin),,,
